periode,kab_kota,pendidikan,tpt_persen
2025-08,Maluku Barat Daya,"Diploma IV, S1, S2, S3",4.965089
2025-08,Buru Selatan,Sekolah Dasar,0.454079
2025-08,Buru Selatan,Sekolah Menengah Pertama,0.0
2025-08,Buru Selatan,Sekolah Menengah Atas,0.914187
2025-08,Buru Selatan,Sekolah Menengah Kejuruan,9.335624
2025-08,Buru Selatan,Diploma I/II/III,0.0
2025-08,Buru Selatan,"Diploma IV, S1, S2, S3",2.087912
2025-08,Kota Ambon,Sekolah Dasar,4.00965
2025-08,Kota Ambon,Sekolah Menengah Pertama,8.031765
2025-08,Kota Ambon,Sekolah Menengah Atas,9.395108
2025-08,Kota Ambon,Sekolah Menengah Kejuruan,22.148122
2025-08,Kota Ambon,Diploma I/II/III,6.274809
2025-08,Kota Ambon,"Diploma IV, S1, S2, S3",14.109287
2025-08,Kota Tual,Sekolah Dasar,1.393214
2025-08,Kota Tual,Sekolah Menengah Pertama,4.068015
2025-08,Kota Tual,Sekolah Menengah Atas,12.577629
2025-08,Kota Tual,Sekolah Menengah Kejuruan,16.476274
2025-08,Kota Tual,Diploma I/II/III,8.161259
2025-08,Kota Tual,"Diploma IV, S1, S2, S3",9.459739
2025-08,Maluku,Sekolah Dasar,2.004635
2025-08,Maluku,Sekolah Menengah Pertama,3.931843
2025-08,Maluku,Sekolah Menengah Atas,7.577403
2025-08,Maluku,Sekolah Menengah Kejuruan,12.062122
2025-08,Maluku,Diploma I/II/III,5.618689
2025-08,Maluku,"Diploma IV, S1, S2, S3",7.956438
